File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_EVI_doy2017060000000_aid0001,_1_km_monthly_EVI,aid0001,2017-03-01,314.0,0.2902,0.5784,"(0.2902,0.5784)",0.454078,0.0546394,0.0029855,0.48685,0.5737,0.45435,0.3371,0.426375
MOD13A3_061__1_km_monthly_EVI_doy2017091000000_aid0001,_1_km_monthly_EVI,aid0001,2017-04-01,314.0,0.297,0.5965,"(0.297,0.5965)",0.4658847,0.0586855,0.003444,0.498525,0.5859,0.4696,0.3409,0.43505
MOD13A3_061__1_km_monthly_EVI_doy2017121000000_aid0001,_1_km_monthly_EVI,aid0001,2017-05-01,314.0,0.2631,0.5615,"(0.2631,0.5615)",0.4781277,0.0492921,0.0024297,0.514275,0.5615,0.48575,0.3475,0.446575
MOD13A3_061__1_km_monthly_EVI_doy2017152000000_aid0001,_1_km_monthly_EVI,aid0001,2017-06-01,314.0,0.2872,0.5536,"(0.2872,0.5536)",0.4693799,0.0482421,0.0023273,0.505625,0.5536,0.4825,0.3656,0.4373
MOD13A3_061__1_km_monthly_EVI_doy2017182000000_aid0001,_1_km_monthly_EVI,aid0001,2017-07-01,314.0,0.1965,0.59,"(0.1965,0.59)",0.4870255,0.0523612,0.0027417,0.5232,0.59,0.4958,0.3686,0.460425
MOD13A3_061__1_km_monthly_EVI_doy2017213000000_aid0001,_1_km_monthly_EVI,aid0001,2017-08-01,314.0,0.3921,0.593,"(0.3921,0.593)",0.5208615,0.0452569,0.0020482,0.559425,0.593,0.53145,0.3921,0.48905
MOD13A3_061__1_km_monthly_EVI_doy2017244000000_aid0001,_1_km_monthly_EVI,aid0001,2017-09-01,314.0,0.2545,0.5928,"(0.2545,0.5928)",0.5020255,0.0557908,0.0031126,0.537425,0.5928,0.5056,0.3823,0.474475
MOD13A3_061__1_km_monthly_EVI_doy2017274000000_aid0001,_1_km_monthly_EVI,aid0001,2017-10-01,314.0,0.1985,0.6154,"(0.1985,0.6154)",0.5173446,0.0619182,0.0038339,0.56015,0.6154,0.52325,0.3964,0.4926
MOD13A3_061__1_km_monthly_EVI_doy2017305000000_aid0001,_1_km_monthly_EVI,aid0001,2017-11-01,314.0,0.1421,0.6037,"(0.1421,0.6037)",0.4767503,0.0743891,0.0055337,0.522975,0.6037,0.4944,0.3582,0.454775
MOD13A3_061__1_km_monthly_EVI_doy2017335000000_aid0001,_1_km_monthly_EVI,aid0001,2017-12-01,314.0,0.2048,0.5736,"(0.2048,0.5736)",0.4726022,0.0655209,0.004293,0.517175,0.5736,0.4836,0.3433,0.4466
MOD13A3_061__1_km_monthly_EVI_doy2018001000000_aid0001,_1_km_monthly_EVI,aid0001,2018-01-01,314.0,0.2449,0.5659,"(0.2449,0.5659)",0.4513035,0.0422078,0.0017815,0.47905,0.5527,0.45415,0.3493,0.4264
MOD13A3_061__1_km_monthly_EVI_doy2018032000000_aid0001,_1_km_monthly_EVI,aid0001,2018-02-01,314.0,0.2867,0.5662,"(0.2867,0.5662)",0.473649,0.0462064,0.002135,0.50645,0.5662,0.48395,0.3669,0.4491
MOD13A3_061__1_km_monthly_EVI_doy2018060000000_aid0001,_1_km_monthly_EVI,aid0001,2018-03-01,314.0,0.2333,0.619,"(0.2333,0.619)",0.4584863,0.061369,0.0037662,0.49745,0.5965,0.46705,0.3079,0.41735
MOD13A3_061__1_km_monthly_EVI_doy2018091000000_aid0001,_1_km_monthly_EVI,aid0001,2018-04-01,314.0,0.1393,0.654,"(0.1393,0.654)",0.4909825,0.068213,0.004653,0.53165,0.6083,0.4993,0.3834,0.46705
MOD13A3_061__1_km_monthly_EVI_doy2018121000000_aid0001,_1_km_monthly_EVI,aid0001,2018-05-01,314.0,0.3034,0.5791,"(0.3034,0.5791)",0.4951287,0.0427857,0.0018306,0.5236,0.5791,0.5025,0.3996,0.47335
MOD13A3_061__1_km_monthly_EVI_doy2018152000000_aid0001,_1_km_monthly_EVI,aid0001,2018-06-01,314.0,0.0964,0.6317,"(0.0964,0.6317)",0.4864134,0.1008985,0.0101805,0.54745,0.6317,0.5205,0.3663,0.473975
MOD13A3_061__1_km_monthly_EVI_doy2018182000000_aid0001,_1_km_monthly_EVI,aid0001,2018-07-01,314.0,0.2249,0.6155,"(0.2249,0.6155)",0.4860885,0.0566134,0.0032051,0.5216,0.5945,0.49205,0.3698,0.4599
MOD13A3_061__1_km_monthly_EVI_doy2018213000000_aid0001,_1_km_monthly_EVI,aid0001,2018-08-01,314.0,0.2342,0.5673,"(0.2342,0.5673)",0.4783436,0.0436661,0.0019067,0.5072,0.5673,0.4864,0.3679,0.45085
